Date,Open,High,Low,Close,Volume
2019-09-08 17:00:00,10000,10000,10000,10000,0.002
2019-09-08 18:00:00,10000,10000,10000,10000,0
2019-09-08 19:00:00,10344.77,10357.53,10337.43,10340.12,471.659
2019-09-08 20:00:00,10340.12,10368.64,10334.54,10351.42,583.271
2019-09-08 21:00:00,10351.42,10391.90,10324.77,10391.90,689.759
2019-09-08 22:00:00,10392.59,10412.65,10375.58,10375.58,675.394
2019-09-08 23:00:00,10375.58,10392.25,10366.57,10391.63,676.206
2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0
2019-09-09 01:00:00,10391.63,10391.63,10391.63,10391.63,0
2019-09-09 02:00:00,10316.62,10316.65,10294.29,10296.04,96.462
2019-09-09 03:00:00,10295.81,10316.68,10267.37,10297.89,682.987
2019-09-09 04:00:00,10297.89,10316.33,10251.51,10316.30,680.278
2019-09-09 05:00:00,10316.30,10316.34,10299.80,10304.32,671.524
2019-09-09 06:00:00,10304.32,10305.51,10252.36,10256.09,680.520
2019-09-09 07:00:00,10260.16,10273.71,10092.71,10149.47,632.467
2019-09-09 08:00:00,10149.47,10170.74,10077.22,10147.84,1160.043
2019-09-09 09:00:00,10147.84,10267.74,10143.68,10248.89,274.673
2019-09-09 10:00:00,10249.57,10256.18,10196.76,10253.25,384.383
2019-09-09 11:00:00,10247.69,10475.54,10222.75,10414.60,647.386
2019-09-09 12:00:00,10411.70,10411.70,10349.89,10356.75,844.568
2019-09-09 13:00:00,10356.61,10389.12,10317.61,10322.37,872.928
2019-09-09 14:00:00,10327.06,10363.82,10302.69,10337.55,830.825
2019-09-09 15:00:00,10333.86,10363.66,10308.84,10314.26,837.694
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10255.44,1126.982
2019-09-09 17:00:00,10253.31,10296.30,10235.30,10263.33,913.252
2019-09-09 18:00:00,10261.38,10288.82,10250.56,10255.58,918.219
2019-09-09 19:00:00,10255.58,10323.13,10237.17,10308.87,956.876
2019-09-09 20:00:00,10307.80,10420.65,10228.28,10233.85,726.047
2019-09-09 21:00:00,10229.48,10343.79,10229.48,10289.48,516.808
2019-09-09 22:00:00,10289.48,10358.69,10289.48,10358.69,296.634
2019-09-09 23:00:00,10347.50,10382.64,10304.80,10307,72.817
2019-09-10 00:00:00,10307,10373.14,10307,10338.61,197.310
2019-09-10 01:00:00,10336.92,10382.97,10328.53,10328.53,322.633
2019-09-10 02:00:00,10328.04,10356.14,10281.43,10281.43,546.280
2019-09-10 03:00:00,10285.58,10320.45,10266.61,10307.25,481.232
2019-09-10 04:00:00,10309.17,10329.24,10304.57,10305.21,513.665
2019-09-10 05:00:00,10305.21,10306.67,10251.86,10262.85,312.001
2019-09-10 06:00:00,10263.35,10271.65,10226.81,10265.96,449.925
2019-09-10 07:00:00,10265.96,10304.82,10240.25,10272.46,430.492
2019-09-10 08:00:00,10271.93,10286.15,10247.20,10256.08,374.454
2019-09-10 09:00:00,10255.76,10290.01,10206.87,10248.67,356.750
2019-09-10 10:00:00,10255.07,10280.90,10222.99,10240.32,358.313
2019-09-10 11:00:00,10240.11,10259.52,10223.56,10254.56,319.484
2019-09-10 12:00:00,10252.70,10270.58,10226.02,10254.63,320.088
2019-09-10 13:00:00,10256.66,10258.78,10221.96,10241.79,308.964
2019-09-10 14:00:00,10237.92,10239.21,10176.69,10208.34,579.259
2019-09-10 15:00:00,10203.70,10222.71,10167.91,10179.10,321.499
2019-09-10 16:00:00,10172.13,10237.41,10172.13,10225.40,306.303
2019-09-10 17:00:00,10222.36,10232.64,10195.13,10213.69,333.288
2019-09-10 18:00:00,10213.58,10218.72,10192.47,10198.27,305.427
2019-09-10 19:00:00,10194.82,10202.43,9940.87,10026.56,468.928
2019-09-10 20:00:00,10021.49,10080.64,9991.73,10062.53,336.757
2019-09-10 21:00:00,10060.46,10127.22,10040.85,10108.06,423.519
2019-09-10 22:00:00,10108.25,10124.68,10059.92,10089.70,338.205
2019-09-10 23:00:00,10089.10,10124.47,10046.67,10102.02,364.179
2019-09-11 00:00:00,10094.27,10293.11,10090.62,10142.52,390.557
2019-09-11 01:00:00,10137.60,10158.12,10069.45,10069.75,333.196
2019-09-11 02:00:00,10066.39,10099.47,10051,10073.20,308.733
2019-09-11 03:00:00,10068.78,10116.43,10067.02,10093.88,345.495
2019-09-11 04:00:00,10091.53,10097.65,10054.44,10056.42,325.921
2019-09-11 05:00:00,10057.71,10074.15,9974.69,10028.63,407.191
2019-09-11 06:00:00,10024.78,10050.56,9884.31,9995.45,371.519
2019-09-11 07:00:00,9995.72,10078.84,9990.59,10067.46,311.873
2019-09-11 08:00:00,10068.41,10074.32,10004.26,10005.18,268.074
2019-09-11 09:00:00,10001.83,10034.77,9988.69,10016.05,246.581
2019-09-11 10:00:00,10019.03,10118.71,10016.97,10095.66,271.859
2019-09-11 11:00:00,10097.04,10138.01,10066.76,10070.53,245.150
2019-09-11 12:00:00,10062.34,10099.23,10048.88,10092.05,269.216
2019-09-11 13:00:00,10096,10101.38,10017.65,10036.64,305.302
2019-09-11 14:00:00,10037.14,10063,9986.65,10030.18,608.970
2019-09-11 15:00:00,10032.89,10032.89,9973.15,9991.84,642.698
2019-09-11 16:00:00,9992.18,10110.21,9934.11,10044.87,643.320
2019-09-11 17:00:00,10044.14,10077.34,10034.91,10054.43,645.218
2019-09-11 18:00:00,10053.77,10123.29,10053.32,10068.20,608.631
2019-09-11 19:00:00,10069.21,10103.43,10043.71,10077.60,726.360
2019-09-11 20:00:00,10073.64,10125.56,10064.11,10102.87,696.837
2019-09-11 21:00:00,10099.78,10184.66,10081.81,10161.51,621.690
2019-09-11 22:00:00,10163.87,10176.27,10133.09,10146.21,627.182
2019-09-11 23:00:00,10145.97,10166.61,10103.34,10159.55,676.349
2019-09-12 00:00:00,10163.06,10205.46,10141.11,10155.22,685.695
2019-09-12 01:00:00,10156.98,10173.34,10124.47,10124.55,675.721
2019-09-12 02:00:00,10124.55,10133.95,10085.88,10111.76,653.073
2019-09-12 03:00:00,10111.22,10139.50,10090.81,10113.43,689.836
2019-09-12 04:00:00,10116.97,10129.19,10070.01,10078.37,594.707
2019-09-12 05:00:00,10077.71,10103.09,10072.10,10079.86,634.959
2019-09-12 06:00:00,10080.29,10083.62,10042.12,10066.37,629.742
2019-09-12 07:00:00,10067.03,10088.61,10057.85,10078.96,643.190
2019-09-12 08:00:00,10079.76,10151.44,10076.95,10147.32,642.568
2019-09-12 09:00:00,10147.71,10171.93,10118.59,10121.65,620.958
2019-09-12 10:00:00,10123.64,10177.88,10122.75,10153.96,643.952
2019-09-12 11:00:00,10152.45,10187.90,10137.45,10170.93,624.034
2019-09-12 12:00:00,10170,10239.21,10170,10239.21,611.128
2019-09-12 13:00:00,10235.34,10360.13,10219.15,10343.84,636.117
2019-09-12 14:00:00,10337.06,10357.05,10272.77,10305.07,642.298
2019-09-12 15:00:00,10304.72,10365.15,10283.92,10326.58,639.457
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10269.94,725.104
2019-09-12 17:00:00,10272.72,10295.80,10266.14,10295.80,620.301
2019-09-12 18:00:00,10295.80,10346.06,10288.08,10296.24,704.886
2019-09-12 19:00:00,10296.88,10323.67,10272.03,10308.80,673.878
2019-09-12 20:00:00,10301.82,10360.75,10300.85,10320.73,608.006
2019-09-12 21:00:00,10321.45,10400,10321.45,10388.87,655.809
2019-09-12 22:00:00,10390.01,10450.13,10374.96,10385.45,701.318
2019-09-12 23:00:00,10386.76,10415.13,10357.51,10415.13,652.897
2019-09-13 00:00:00,10414.96,10440.55,10368.98,10387.34,636.735
2019-09-13 01:00:00,10387.34,10387.50,10329.30,10335.68,606.585
2019-09-13 02:00:00,10335.35,10386.64,10332.83,10365.43,611.470
2019-09-13 03:00:00,10365.47,10369.57,10345.97,10364.64,628.902
2019-09-13 04:00:00,10364.82,10399.81,10324.68,10336.83,884.485
2019-09-13 05:00:00,10328.75,10343.52,10272.77,10291.89,929.271
