Date,Open,High,Low,Close,Volume
2019-09-08 16:00:00,10000,10000,10000,10000,0.002
2019-09-08 18:00:00,10344.77,10357.53,10337.43,10340.12,471.659
2019-09-08 20:00:00,10340.12,10391.90,10324.77,10391.90,1273.030
2019-09-08 22:00:00,10392.59,10412.65,10366.57,10391.63,1351.600
2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0
2019-09-09 02:00:00,10316.62,10316.68,10267.37,10297.89,779.449
2019-09-09 04:00:00,10297.89,10316.34,10251.51,10304.32,1351.802
2019-09-09 06:00:00,10304.32,10305.51,10092.71,10149.47,1312.987
2019-09-09 08:00:00,10149.47,10267.74,10077.22,10248.89,1434.716
2019-09-09 10:00:00,10249.57,10475.54,10196.76,10414.60,1031.769
2019-09-09 12:00:00,10411.70,10411.70,10317.61,10322.37,1717.496
2019-09-09 14:00:00,10327.06,10363.82,10302.69,10314.26,1668.519
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10263.33,2040.234
2019-09-09 18:00:00,10261.38,10323.13,10237.17,10308.87,1875.095
2019-09-09 20:00:00,10307.80,10420.65,10228.28,10289.48,1242.855
2019-09-09 22:00:00,10289.48,10382.64,10289.48,10307,369.451
2019-09-10 00:00:00,10307,10382.97,10307,10328.53,519.943
2019-09-10 02:00:00,10328.04,10356.14,10266.61,10307.25,1027.512
2019-09-10 04:00:00,10309.17,10329.24,10251.86,10262.85,825.666
2019-09-10 06:00:00,10263.35,10304.82,10226.81,10272.46,880.417
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10248.67,731.204
2019-09-10 10:00:00,10255.07,10280.90,10222.99,10254.56,677.797
2019-09-10 12:00:00,10252.70,10270.58,10221.96,10241.79,629.052
2019-09-10 14:00:00,10237.92,10239.21,10167.91,10179.10,900.758
2019-09-10 16:00:00,10172.13,10237.41,10172.13,10213.69,639.591
2019-09-10 18:00:00,10213.58,10218.72,9940.87,10026.56,774.355
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10108.06,760.276
2019-09-10 22:00:00,10108.25,10124.68,10046.67,10102.02,702.384
2019-09-11 00:00:00,10094.27,10293.11,10069.45,10069.75,723.753
2019-09-11 02:00:00,10066.39,10116.43,10051,10093.88,654.228
2019-09-11 04:00:00,10091.53,10097.65,9974.69,10028.63,733.112
2019-09-11 06:00:00,10024.78,10078.84,9884.31,10067.46,683.392
2019-09-11 08:00:00,10068.41,10074.32,9988.69,10016.05,514.655
2019-09-11 10:00:00,10019.03,10138.01,10016.97,10070.53,517.009
2019-09-11 12:00:00,10062.34,10101.38,10017.65,10036.64,574.518
2019-09-11 14:00:00,10037.14,10063,9973.15,9991.84,1251.668
2019-09-11 16:00:00,9992.18,10110.21,9934.11,10054.43,1288.538
2019-09-11 18:00:00,10053.77,10123.29,10043.71,10077.60,1334.991
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10161.51,1318.527
2019-09-11 22:00:00,10163.87,10176.27,10103.34,10159.55,1303.531
2019-09-12 00:00:00,10163.06,10205.46,10124.47,10124.55,1361.416
2019-09-12 02:00:00,10124.55,10139.50,10085.88,10113.43,1342.909
2019-09-12 04:00:00,10116.97,10129.19,10070.01,10079.86,1229.666
2019-09-12 06:00:00,10080.29,10088.61,10042.12,10078.96,1272.932
2019-09-12 08:00:00,10079.76,10171.93,10076.95,10121.65,1263.526
2019-09-12 10:00:00,10123.64,10187.90,10122.75,10170.93,1267.986
2019-09-12 12:00:00,10170,10360.13,10170,10343.84,1247.245
2019-09-12 14:00:00,10337.06,10365.15,10272.77,10326.58,1281.755
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10295.80,1345.405
2019-09-12 18:00:00,10295.80,10346.06,10272.03,10308.80,1378.764
2019-09-12 20:00:00,10301.82,10400,10300.85,10388.87,1263.815
2019-09-12 22:00:00,10390.01,10450.13,10357.51,10415.13,1354.215
2019-09-13 00:00:00,10414.96,10440.55,10329.30,10335.68,1243.320
2019-09-13 02:00:00,10335.35,10386.64,10332.83,10364.64,1240.372
2019-09-13 04:00:00,10364.82,10399.81,10272.77,10291.89,1813.756
2019-09-13 06:00:00,10290.67,10319.80,10267.89,10284.03,1775.829
2019-09-13 08:00:00,10283.68,10327.14,10255.25,10306.43,1509.291
2019-09-13 10:00:00,10306.94,10323.51,10251.99,10306.52,1834.691
2019-09-13 12:00:00,10306.52,10344,10286.27,10307.01,1815.754
2019-09-13 14:00:00,10306.78,10326.46,10270,10296.57,1740.736
2019-09-13 16:00:00,10294.81,10310.08,10190,10226.61,1571.369
2019-09-13 18:00:00,10224.60,10243.17,10186.34,10210.25,1707.027
2019-09-13 20:00:00,10210.25,10299.66,10153.51,10287.11,1415.666
2019-09-13 22:00:00,10287.11,10355.85,10250,10341.34,1584.910
2019-09-14 00:00:00,10343.01,10353.72,10290,10298.45,1737.356
2019-09-14 02:00:00,10299.73,10307.34,10267.08,10280.77,1560.547
2019-09-14 04:00:00,10280.58,10305.29,10259.75,10287.31,1387.754
2019-09-14 06:00:00,10287.30,10330.61,10275.04,10316.67,1585.528
2019-09-14 08:00:00,10319.07,10348,10288.78,10305.47,1879.612
2019-09-14 10:00:00,10305.79,10321.53,10287.53,10291.93,1457.673
2019-09-14 12:00:00,10292.13,10349,10222.77,10321,1952.804
2019-09-14 14:00:00,10321,10396.40,10311.82,10358,2186.164
2019-09-14 16:00:00,10355.61,10398,10325.41,10380.36,1862.465
2019-09-14 18:00:00,10380.76,10389.14,10338.66,10363.80,1670.214
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10377.71,1799.144
2019-09-14 22:00:00,10377.74,10387.90,10325.56,10332.25,1577.363
2019-09-15 00:00:00,10333.47,10359.20,10024.81,10332.65,1942.069
2019-09-15 02:00:00,10331.84,10335,10288,10303.39,1597.294
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10311.07,1612.772
2019-09-15 06:00:00,10310.68,10324.16,10292.86,10308.96,1406.595
2019-09-15 08:00:00,10308.08,10308.40,10268.55,10285.56,1634.946
2019-09-15 10:00:00,10284.30,10320,10275.60,10296.63,1615.096
2019-09-15 12:00:00,10296.54,10311.91,10255.41,10273.67,1767.633
2019-09-15 14:00:00,10273.76,10317.29,10252.28,10306.37,1988.238
2019-09-15 16:00:00,10306.79,10332.61,10286.88,10309.03,1855.834
2019-09-15 18:00:00,10309.11,10310.04,10280.14,10294.68,1747.714
2019-09-15 20:00:00,10294.46,10310.95,10265.32,10289.03,1614.533
2019-09-15 22:00:00,10289.03,10316.45,10281.95,10302.22,1753.531
2019-09-16 00:00:00,10302,10353.81,10300.36,10338.57,1748.081
2019-09-16 02:00:00,10339.60,10353.79,10300,10300.07,1742.707
2019-09-16 04:00:00,10300.24,10325,10296.25,10312.37,1536.718
2019-09-16 06:00:00,10312.17,10312.17,10279.69,10302.30,1594.944
2019-09-16 08:00:00,10301.95,10316.71,10282.97,10302.35,1513.967
2019-09-16 10:00:00,10302.87,10309.77,10275.74,10282.74,1598.656
2019-09-16 12:00:00,10282.03,10282.03,10125.70,10148.74,2070.067
2019-09-16 14:00:00,10150.25,10166.91,10115,10120.07,1478.811
2019-09-16 16:00:00,10117.40,10160.39,10080.70,10144.73,1727.208
2019-09-16 18:00:00,10144.35,10150.50,10115.70,10124.17,1691.849
2019-09-16 20:00:00,10120.37,10329.38,10119.29,10280.25,1872.433
2019-09-16 22:00:00,10282.77,10308.27,10228.92,10249.27,1610.196
2019-09-17 00:00:00,10257.30,10261.36,10175.20,10209.45,1813.287
2019-09-17 02:00:00,10208.81,10232.07,10187.88,10224.09,1742.727
2019-09-17 04:00:00,10225.02,10230.79,10165,10195.82,1995.427
2019-09-17 06:00:00,10194.31,10214.30,10179.84,10201.89,1858.104
2019-09-17 08:00:00,10202.92,10205.81,10136.77,10162.73,1974.860
2019-09-17 10:00:00,10161.19,10182.47,10158,10163,1816.181
2019-09-17 12:00:00,10162.70,10244.27,10151.62,10185.92,2092.664
2019-09-17 14:00:00,10185.57,10225.16,10173.89,10201.14,1767.308
2019-09-17 16:00:00,10201.09,10262.49,10200.39,10252.14,1910.508
2019-09-17 18:00:00,10251.56,10257.27,10214.64,10255.91,1772.954
2019-09-17 20:00:00,10256.52,10270.63,10192.09,10212.18,1911.261
2019-09-17 22:00:00,10212.70,10237.78,10171.37,10186.52,1864.326
2019-09-18 00:00:00,10183.87,10256.65,10183.87,10245.46,1815.236
2019-09-18 02:00:00,10245.57,10252.50,10192.04,10206.05,1758.242
2019-09-18 04:00:00,10206.02,10228.41,10196.26,10198.72,1756.244
2019-09-18 06:00:00,10197.70,10216,10185.60,10198.54,1675.260
2019-09-18 08:00:00,10199.39,10199.47,10150,10174.08,1739.995
2019-09-18 10:00:00,10174.39,10195.64,10150,10156.12,1517.522
2019-09-18 12:00:00,10156.70,10210,10097.92,10178.66,2054.248
2019-09-18 14:00:00,10179.78,10193.36,10151,10172.91,1948.832
2019-09-18 16:00:00,10172.84,10204.51,10132.51,10187.83,1906.663
2019-09-18 18:00:00,10186.17,10212.25,10166.54,10171.17,1434.043
